id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
ZNF589	5	8.858e-06	4.0427e-05	0.010396	69	5	-0.84882	0.99913	0.99914	1.0	17902	0	-0.84882
SLC22A2	5	1.0188e-05	4.5377e-05	0.011505	70	5	-1.1741	0.99999	0.99999	1.0	17953	0	-1.1741
BBS10	4	1.0477e-05	3.5477e-05	0.009255	71	4	-1.7637	0.99877	0.99876	1.0	17893	0	-1.7637
COQ6	5	1.088e-05	4.8677e-05	0.012139	72	3	-0.96146	0.46376	0.61756	1.0	10856	2	-0.96146
DIXDC1	5	1.1165e-05	4.9227e-05	0.012139	73	4	-0.76156	0.96675	0.96696	1.0	17281	0	-0.76156
INTS3	5	1.3834e-05	5.7478e-05	0.013982	74	5	-2.0095	0.99939	0.99937	1.0	17911	0	-2.0095
IL10	5	1.5981e-05	6.7378e-05	0.016172	75	5	-1.0343	0.99998	0.99998	1.0	17951	0	-1.0343
OBFC1	5	1.6943e-05	7.4528e-05	0.017652	76	5	-1.1178	0.99965	0.99966	1.0	17920	0	-1.1178
RAB40B	5	2.0112e-05	8.8279e-05	0.020638	77	5	-0.68959	0.9984	0.9984	1.0	17884	0	-0.68959
TELO2	5	2.135e-05	9.4329e-05	0.021745	78	5	-0.80161	0.99998	0.99998	1.0	17949	0	-0.80161
TM9SF1	5	2.1517e-05	9.5429e-05	0.021745	79	4	-0.99694	0.99054	0.99062	1.0	17731	0	-0.99694
POLR3D	5	2.6021e-05	0.00012348	0.027785	80	4	-1.0761	0.98574	0.98586	1.0	17643	0	-1.0761
TMEM140	5	2.6492e-05	0.00012513	0.027808	81	5	-0.63171	0.99997	0.99997	1.0	17946	0	-0.63171
C3orf83	5	3.3518e-05	0.00016033	0.035197	82	5	-0.81076	0.99997	0.99997	1.0	17945	0	-0.81076
UCN2	5	3.8834e-05	0.00018783	0.040737	83	5	-0.69354	0.99879	0.99879	1.0	17894	0	-0.69354
UBQLN2	5	4.4497e-05	0.00021148	0.045321	84	4	-0.71056	0.99396	0.99397	1.0	17796	0	-0.71056
CCS	5	4.6603e-05	0.00022248	0.047117	85	5	-0.7574	0.99995	0.99996	1.0	17942	0	-0.7574
PIGP	5	5.251e-05	0.00024559	0.051249	86	5	-1.6099	0.9999	0.99991	1.0	17939	0	-1.6099
OSBP	5	5.3429e-05	0.00025054	0.051249	87	5	-0.49864	0.99995	0.99995	1.0	17941	0	-0.49864
ENKUR	5	5.3448e-05	0.00025054	0.051249	88	5	-1.2992	0.99944	0.99942	1.0	17914	0	-1.2992
C11orf16	5	5.4296e-05	0.00025439	0.051452	89	5	-0.81814	0.99961	0.99961	1.0	17918	0	-0.81814
MAPKAPK2	5	6.4618e-05	0.00029564	0.059025	90	5	-0.67518	0.99916	0.99917	1.0	17903	0	-0.67518
GRIN3B	5	6.4964e-05	0.00029839	0.059025	91	4	-0.77146	0.97086	0.97102	1.0	17365	0	-0.77146
PLEKHG4	5	7.4083e-05	0.00033689	0.065917	92	5	-0.93084	0.99813	0.99812	1.0	17875	0	-0.93084
ELOF1	5	0.00010856	0.0004942	0.094639	93	4	-0.84694	0.99388	0.9939	1.0	17791	0	-0.84694
FAM118A	5	0.00012132	0.0005459	0.103439	94	5	-0.5286	0.99988	0.99988	1.0	17936	0	-0.5286
MRPL35	5	0.00012789	0.00058	0.108756	95	5	-1.0271	0.99987	0.99988	1.0	17935	0	-1.0271
FOXC1	5	0.00012945	0.0005877	0.109064	96	4	-0.61734	0.96985	0.96999	1.0	17342	0	-0.61734
IFNK	5	0.00013267	0.0006031	0.109661	97	5	-1.668	0.99987	0.99987	1.0	17934	0	-1.668
N6AMT1	5	0.00014696	0.0006691	0.120446	98	4	-0.71739	0.67832	0.75841	1.0	13386	1	-0.71739
UNC5D	5	0.00015442	0.00071421	0.126432	99	4	-1.0885	0.99387	0.99389	1.0	17790	0	-1.0885
RNF169	5	0.00015517	0.00071641	0.126432	100	4	-0.59843	0.87118	0.87266	1.0	15560	1	-0.59843
CRKL	4	0.00015566	0.0005976	0.109661	101	4	-1.7821	0.99984	0.99986	1.0	17932	0	-1.7821
CIZ1	5	0.00016631	0.00076866	0.132343	102	5	-0.52482	0.99983	0.99985	1.0	17930	0	-0.52482
C8orf88	5	0.00016691	0.00077196	0.132343	103	5	-3.1972	0.99726	0.99727	1.0	17853	0	-3.1972
GLT6D1	5	0.00017287	0.00080001	0.135236	104	5	-0.40641	0.99983	0.99984	1.0	17929	0	-0.40641
ULBP3	5	0.00017326	0.00080386	0.135236	105	5	-0.69605	0.9997	0.9997	1.0	17923	0	-0.69605
DPF2	5	0.00018451	0.00085226	0.142052	106	5	-0.7064	0.99982	0.99982	1.0	17928	0	-0.7064
SF3B14	5	0.00020017	0.00091717	0.15018	107	4	-3.1521	0.036624	0.10767	1.0	1764	1	-3.1521
GDNF	5	0.00020044	0.00091772	0.15018	108	4	-0.68529	0.88263	0.88327	1.0	15755	1	-0.68529
IFI44L	4	0.00020353	0.00076316	0.132343	109	3	-0.99056	0.93279	0.93248	1.0	16685	0	-0.99056
URB1	5	0.00020969	0.00095897	0.154128	110	5	-1.6866	0.99742	0.99743	1.0	17861	0	-1.6866
ZMAT3	5	0.00021746	0.00099472	0.15707	111	3	-0.49348	0.9105	0.91089	1.0	16282	0	-0.49348
COIL	5	0.00022785	0.0010409	0.161531	112	3	-1.1175	0.85398	0.8581	1.0	15304	1	-1.1175
ONECUT3	5	0.0002313	0.0010569	0.162605	113	5	-0.5045	0.99977	0.99977	1.0	17927	0	-0.5045
C17orf104	5	0.00024458	0.0011141	0.169953	114	5	-1.0315	0.99976	0.99975	1.0	17926	0	-1.0315
TVP23C-CDRT4	2	0.00024497	0.00047495	0.09193	115	2	-1.739	0.99976	0.99975	1.0	17925	0	-1.739
FCGR2A	4	0.00026051	0.00095649	0.154128	116	3	-0.86616	0.97743	0.97747	1.0	17476	0	-0.86616
LCT	5	0.00026246	0.0012015	0.181754	117	3	-0.59832	0.16804	0.32947	1.0	5659	2	-0.59832
HAX1	5	0.00026557	0.0012191	0.18288	118	4	-0.84519	0.97403	0.97417	1.0	17417	0	-0.84519
OSER1	4	0.00026677	0.00098042	0.156182	119	3	-0.79663	0.86506	0.8646	1.0	15462	0	-0.79663
NECAB2	5	0.00026899	0.0012351	0.183741	120	4	-0.96131	0.94176	0.94195	1.0	16836	0	-0.96131
PPP1R18	4	0.00027334	0.0010046	0.157254	121	3	-0.71419	0.8264	0.82575	1.0	14923	1	-0.71419
ZNF880	5	0.00028578	0.0013154	0.194084	122	5	-1.6268	0.99738	0.99739	1.0	17858	0	-1.6268
EMC1	5	0.00031428	0.0014452	0.211503	123	4	-0.77616	0.95191	0.9521	1.0	17009	0	-0.77616
POLR3B	5	0.00032354	0.0014804	0.214907	124	5	-1.3018	0.99968	0.99968	1.0	17922	0	-1.3018
SQRDL	5	0.00033016	0.0015057	0.216832	125	3	-0.52052	0.80078	0.82088	1.0	14596	1	-0.52052
BOD1	7	0.00034092	0.0020348	0.279365	126	4	-0.23416	0.92326	0.92961	1.0	16511	1	-0.23416
DAGLA	5	0.0003643	0.0016542	0.236327	127	4	-0.63701	0.99276	0.99283	1.0	17763	0	-0.63701
MUCL1	5	0.00036784	0.001669	0.236571	128	5	-0.73897	0.99963	0.99964	1.0	17919	0	-0.73897
ARL6IP6	5	0.00041143	0.0018737	0.263498	129	4	-0.53938	0.50515	0.65303	1.0	11485	1	-0.53938
GPR85	5	0.0005306	0.0024149	0.323102	130	5	-0.47238	0.99947	0.99945	1.0	17917	0	-0.47238
MOGAT2	5	0.00053316	0.0024231	0.323102	131	3	-0.37761	0.85806	0.86136	1.0	15354	1	-0.37761
COPS7B	6	0.00053874	0.0028758	0.354571	132	5	-0.49656	0.8827	0.89166	1.0	15757	1	-0.49656
OTOP2	5	0.00054012	0.0024561	0.323705	133	5	-0.41847	0.99946	0.99945	1.0	17916	0	-0.41847
ACSL1	5	0.00054492	0.0024743	0.323705	134	5	-0.63428	0.99682	0.99682	1.0	17845	0	-0.63428
BAK1	5	0.00054976	0.0024935	0.323705	135	4	-0.47427	0.028732	0.087338	1.0	1482	1	-0.47427
EBI3	5	0.00055138	0.0024996	0.323705	136	4	-0.62904	0.88599	0.88652	1.0	15818	1	-0.62904
COX20	4	0.0005593	0.0020172	0.279322	137	4	-0.71888	0.99944	0.99946	1.0	17915	0	-0.71888
INVS	5	0.00056337	0.0025546	0.328383	138	5	-0.92942	0.99944	0.99942	1.0	17913	0	-0.92942
COX18	4	0.00056606	0.0020486	0.279365	139	3	-0.62025	0.9637	0.96357	1.0	17217	0	-0.62025
SPRED1	5	0.0005677	0.0025722	0.328383	140	2	-0.071448	0.67084	0.75522	1.0	13332	1	-0.071448
FAR1	5	0.00058194	0.0026332	0.33381	141	4	-0.70383	0.93289	0.93312	1.0	16686	0	-0.70383
GTF2A1L	5	0.0006091	0.0027559	0.344998	142	5	-1.3004	0.99939	0.99938	1.0	17912	0	-1.3004
DUSP19	5	0.00061022	0.0027625	0.344998	143	3	-0.81374	0.9435	0.94369	1.0	16872	0	-0.81374
GPR88	5	0.00061415	0.002779	0.344998	144	3	-0.55282	0.70119	0.76849	1.0	13580	1	-0.55282
FZD5	4	0.00062297	0.0022548	0.305181	145	3	-0.56664	0.73359	0.74818	1.0	13869	1	-0.56664
STT3A	5	0.00067592	0.003054	0.371454	146	3	-1.0274	0.16824	0.32974	1.0	5663	1	-1.0274
YJEFN3	5	0.00068594	0.0030942	0.371757	147	5	-0.40856	0.99931	0.99931	1.0	17910	0	-0.40856
IFI16	5	0.00068755	0.0030997	0.371757	148	4	-0.57073	0.9192	0.91953	1.0	16445	0	-0.57073
PLAC1	5	0.00069561	0.003131	0.371757	149	5	-0.58969	0.9993	0.99929	1.0	17908	0	-0.58969
LTN1	5	0.00069978	0.0031464	0.371757	150	3	-0.21051	0.55462	0.69623	1.0	12262	1	-0.21051
RTTN	5	0.00070716	0.0031811	0.371757	151	4	-0.64092	0.98042	0.98058	1.0	17542	0	-0.64092
SLC12A6	5	0.00071356	0.0032042	0.371757	152	5	-0.49739	0.99929	0.99928	1.0	17907	0	-0.49739
DHRS4	5	0.00071922	0.0032311	0.371757	153	5	-0.28954	0.99928	0.99927	1.0	17906	0	-0.28954
RPAP1	5	0.00073379	0.0032977	0.373342	154	5	-2.2218	0.99927	0.99926	1.0	17905	0	-2.2218
KBTBD8	5	0.00074488	0.0033466	0.375653	155	5	-0.87458	0.99926	0.99925	1.0	17904	0	-0.87458
NDNF	5	0.0007477	0.0033598	0.375653	156	3	-0.56092	0.55031	0.69235	1.0	12202	2	-0.56092
NIPAL1	5	0.00076219	0.0034225	0.380302	157	3	-0.44047	0.73785	0.78581	1.0	13906	1	-0.44047
SNX29	4	0.00080866	0.0029248	0.358153	158	3	-0.4031	0.94177	0.94161	1.0	16837	0	-0.4031
PIP4K2B	5	0.00082717	0.0037063	0.406816	159	4	-0.59494	0.89616	0.89661	1.0	16000	0	-0.59494
RAB6A	12	0.00086616	0.0059834	0.56086	160	7	-0.81854	0.58967	0.82358	1.0	12725	3	-0.81854
CHPT1	5	0.00087045	0.0038774	0.423012	161	4	-1.2227	0.62081	0.73547	1.0	12954	1	-1.2227
C4orf3	7	0.0008762	0.0046562	0.470881	162	6	-0.33798	0.92983	0.93397	1.0	16632	1	-0.33798
SLC25A52	4	0.00087637	0.0031772	0.371757	163	2	-0.31126	0.1621	0.30236	1.0	5515	1	-0.31126
KCTD8	5	0.00089276	0.0039731	0.427053	164	3	-0.42062	0.88879	0.88928	1.0	15865	1	-0.42062
NAIF1	4	0.0008999	0.0032619	0.371757	165	4	-0.69603	0.99694	0.99698	1.0	17848	0	-0.69603
PREX2	5	0.00090283	0.0040155	0.427053	166	5	-0.3756	0.9991	0.9991	1.0	17901	0	-0.3756
PSMD14	5	0.00090468	0.0040221	0.427053	167	3	-0.711	0.82119	0.83414	1.0	14859	1	-0.711
DVL1	5	0.00090865	0.0040331	0.427053	168	5	-0.50534	0.99894	0.99894	1.0	17896	0	-0.50534
CALCB	5	0.00093845	0.0041722	0.439204	169	4	-0.52233	0.55624	0.69763	1.0	12285	1	-0.52233
KIF2A	5	0.00094885	0.0042217	0.441832	170	4	-1.8469	0.99311	0.99315	1.0	17772	0	-1.8469
SLITRK5	5	0.00098134	0.0043845	0.456218	171	5	-0.53933	0.99735	0.99735	1.0	17856	0	-0.53933
TIGD7	5	0.00099347	0.0044324	0.45819	172	4	-0.67301	0.98921	0.98929	1.0	17702	0	-0.67301
PRMT1	5	0.0010001	0.0044544	0.45819	173	5	-1.7313	0.999	0.99901	1.0	17899	0	-1.7313
ACRV1	5	0.001029	0.0045847	0.466493	174	4	-0.32195	0.8314	0.84118	1.0	14983	1	-0.32195
ATP2A2	5	0.0010292	0.0045869	0.466493	175	4	-2.1912	0.97144	0.97159	1.0	17378	0	-2.1912
CSGALNACT2	5	0.0010506	0.0046969	0.472344	176	5	-0.40967	0.99895	0.99895	1.0	17898	0	-0.40967
FXYD3	13	0.0010537	0.0074718	0.601529	177	6	0.0057793	0.321	0.62944	1.0	8739	4	0.0057793
BLOC1S2	2	0.0010549	0.0019963	0.278571	178	2	-0.63274	0.99895	0.99891	1.0	17897	0	-0.63274
DARS2	5	0.0010675	0.0047684	0.47687	179	5	-0.54949	0.99893	0.99894	1.0	17895	0	-0.54949
ZNF626	4	0.0010996	0.003972	0.427053	180	3	-1.5965	0.86796	0.86747	1.0	15512	0	-1.5965
NACC1	5	0.0011438	0.0051144	0.504816	181	4	-0.62903	0.61847	0.73464	1.0	12934	1	-0.62903
ZBTB42	5	0.0011561	0.0051601	0.504816	182	3	-0.41613	0.77204	0.80393	1.0	14262	1	-0.41613
C14orf80	5	0.0011946	0.0053229	0.517929	183	3	-0.59601	0.96626	0.96646	1.0	17274	0	-0.59601
PPAPDC1A	5	0.0012228	0.005445	0.526962	184	3	-0.31127	0.91855	0.91887	1.0	16435	0	-0.31127
C12orf65	5	0.0012603	0.0056067	0.535256	185	4	-0.59467	0.99576	0.99576	1.0	17823	0	-0.59467
ZC3H6	5	0.0012616	0.0056105	0.535256	186	4	-0.59636	0.85057	0.85543	1.0	15255	1	-0.59636
KLRG2	5	0.0012637	0.0056199	0.535256	187	4	-0.46614	0.41273	0.57483	1.0	10067	1	-0.46614
C3orf35	6	0.0013083	0.0066759	0.572254	188	4	-0.80204	0.57453	0.72173	1.0	12558	2	-0.80204
CFB	5	0.00135	0.0059889	0.56086	189	3	-0.52739	0.7381	0.78593	1.0	13909	1	-0.52739
TMEM27	4	0.00135	0.0048614	0.48348	190	4	-1.0565	0.99865	0.99866	1.0	17892	0	-1.0565
CD53	5	0.0013619	0.0060324	0.56086	191	4	-0.41188	0.99057	0.99064	1.0	17732	0	-0.41188
UMPS	5	0.0013659	0.0060445	0.56086	192	4	-0.97307	0.9403	0.94049	1.0	16811	0	-0.97307
C17orf96	5	0.0013877	0.0061248	0.562731	193	4	-0.48298	0.9268	0.92706	1.0	16574	0	-0.48298
AP4S1	5	0.0013959	0.0061611	0.562731	194	4	-0.81373	0.65126	0.74725	1.0	13177	1	-0.81373
FNIP2	5	0.0014026	0.0061853	0.562731	195	5	-0.41289	0.9986	0.99859	1.0	17891	0	-0.41289
FREM2	5	0.0014043	0.0061897	0.562731	196	4	-0.46703	0.9944	0.99443	1.0	17802	0	-0.46703
GADD45B	5	0.0014163	0.0062409	0.564184	197	5	-0.65854	0.99832	0.99832	1.0	17882	0	-0.65854
PSMD6	5	0.0014251	0.0062821	0.564184	198	5	-1.7992	0.99857	0.99857	1.0	17890	0	-1.7992
ABHD13	4	0.0014286	0.0051436	0.504816	199	3	-2.5966	0.015866	0.051605	0.987569	948	1	-2.5966
INHBC	5	0.0014594	0.0064334	0.570624	200	3	-0.26342	0.80815	0.82558	1.0	14695	1	-0.26342
C1orf186	5	0.0014596	0.006435	0.570624	201	4	-0.58685	0.99395	0.99397	1.0	17794	0	-0.58685
SNF8	5	0.0014884	0.0065527	0.572254	202	5	-1.5878	0.99851	0.99851	1.0	17889	0	-1.5878
SKIDA1	5	0.0014998	0.0066003	0.572254	203	5	-0.26616	0.9985	0.9985	1.0	17887	0	-0.26616
ACSL6	5	0.0015052	0.0066226	0.572254	204	3	-0.40314	0.70382	0.76968	1.0	13604	1	-0.40314
ALG6	5	0.0015079	0.0066352	0.572254	205	5	-1.1783	0.99849	0.9985	1.0	17886	0	-1.1783
SLC9A8	5	0.0015102	0.0066473	0.572254	206	4	-0.76747	0.98579	0.98591	1.0	17645	0	-0.76747
TMEM38A	5	0.0015574	0.0068365	0.583243	207	4	-0.52522	0.75169	0.79289	1.0	14035	1	-0.52522
ABCG4	5	0.0015839	0.0069427	0.588179	208	3	-0.22609	0.070815	0.1803	1.0	2999	1	-0.22609
SNCG	5	0.0015873	0.0069597	0.588179	209	5	-0.36394	0.99841	0.99842	1.0	17885	0	-0.36394
DDX51	5	0.0016256	0.0071209	0.595962	210	3	-1.0578	0.86757	0.86946	1.0	15501	1	-1.0578
TMEM221	5	0.0016319	0.0071511	0.595962	211	5	-0.35649	0.99837	0.99837	1.0	17883	0	-0.35649
FCER1G	5	0.0016446	0.0072028	0.597504	212	3	-0.79037	0.9895	0.9896	1.0	17714	0	-0.79037
SCARA3	4	0.0016777	0.0060362	0.56086	213	2	-0.32563	0.5684	0.64979	1.0	12462	1	-0.32563
APEX1	5	0.0016833	0.0073723	0.601529	214	5	-0.63996	0.99643	0.99642	1.0	17833	0	-0.63996
VPS36	5	0.0016938	0.0074157	0.601529	215	4	-0.57421	0.54834	0.69058	1.0	12180	1	-0.57421
OCM2	5	0.0016959	0.0074256	0.601529	216	4	-0.65324	0.71952	0.77695	1.0	13754	1	-0.65324
LPIN3	5	0.001714	0.0074949	0.601529	217	4	-0.42406	0.49591	0.64497	1.0	11342	1	-0.42406
GC	5	0.001722	0.0075296	0.601529	218	3	-0.46348	0.48264	0.63365	1.0	11131	2	-0.46348
METAP2	5	0.0017279	0.0075521	0.601529	219	5	-0.39985	0.99827	0.99826	1.0	17881	0	-0.39985
HKR1	4	0.0017524	0.0062997	0.564184	220	3	-0.78753	0.18404	0.32494	1.0	6070	1	-0.78753
SIL1	5	0.0017713	0.007732	0.613142	221	4	-0.6239	0.87124	0.87271	1.0	15562	1	-0.6239
DGAT2L6	5	0.0018103	0.0079025	0.623914	222	5	-0.41308	0.99819	0.99818	1.0	17880	0	-0.41308
NR2C1	5	0.001833	0.0080114	0.62687	223	3	-0.32962	0.34618	0.51967	1.0	9076	2	-0.32962
PRSS12	5	0.0018389	0.0080367	0.62687	224	3	-0.37937	0.80816	0.82559	1.0	14696	1	-0.37937
TCTEX1D2	5	0.0018407	0.0080444	0.62687	225	5	-0.50415	0.99816	0.99815	1.0	17879	0	-0.50415
SORCS2	4	0.0018472	0.0066407	0.572254	226	3	-0.4135	0.044509	0.1108	1.0	2066	1	-0.4135
IRG1	5	0.0018601	0.0081346	0.629223	227	5	-0.26605	0.99814	0.99813	1.0	17877	0	-0.26605
