GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
GNLY	-16.70	5	-6.30	1.53e-10	38	7.19e-08	1	17964	1
KAZN	-16.69	5	-6.29	1.56e-10	39	7.19e-08	1	17963	1
CHTF8	-16.64	5	-6.27	1.77e-10	40	7.95e-08	1	17962	1
ADCY9	-16.57	5	-6.24	2.13e-10	41	9.35e-08	1	17961	1
DCK	-16.53	5	-6.23	2.32e-10	42	9.93e-08	1	17960	1
PTPRB	-16.36	5	-6.16	3.53e-10	43	1.48e-07	1	17959	1
TXNDC2	-17.84	6	-6.13	4.28e-10	44	1.75e-07	1	17958	1
APOE	-15.59	5	-5.87	2.19e-09	45	8.75e-07	1	17957	1
PRCD	-9.72	2	-5.78	3.65e-09	46	1.43e-06	1	17956	1
IFI6	-15.31	5	-5.76	4.23e-09	47	1.62e-06	1	17955	1
EMILIN1	-15.09	5	-5.67	6.96e-09	48	2.61e-06	1	17954	1
BBS10	-13.42	4	-5.64	8.53e-09	49	3.13e-06	1	17953	1
G6PC3	-14.25	5	-5.35	4.38e-08	50	1.58e-05	1	17952	1
TTC7B	-14.05	5	-5.27	6.76e-08	51	2.39e-05	1	17951	1
ZNF671	-13.93	5	-5.23	8.61e-08	52	2.98e-05	1	17950	1
ZHX3	-13.68	5	-5.13	1.45e-07	53	4.94e-05	1	17949	1
TNFSF14	-13.60	5	-5.10	1.7e-07	54	5.65e-05	1	17948	1
JMJD7	-13.59	5	-5.10	1.73e-07	55	5.65e-05	1	17947	1
FNIP1	-13.50	5	-5.06	2.09e-07	56	6.72e-05	1	17946	1
RNF25	-13.18	5	-4.94	3.98e-07	57	0.000126	1	17945	1
INTS3	-13.10	5	-4.91	4.63e-07	58	0.000144	1	17944	1
MPC2	-13.09	5	-4.90	4.75e-07	59	0.000145	1	17943	1
MNS1	-13.07	5	-4.90	4.91e-07	60	0.000147	1	17942	1
SRGN	-13.03	5	-4.88	5.33e-07	61	0.000157	1	17941	1
SERTAD1	-12.81	5	-4.79	8.23e-07	62	0.000239	1	17940	1
SLC22A2	-12.73	5	-4.76	9.61e-07	63	0.000275	1	17939	1
NPTN	-12.44	5	-4.65	1.64e-06	64	0.000462	1	17938	1
IFNK	-12.43	5	-4.65	1.67e-06	65	0.000463	1	17937	1
CDK10	-12.18	5	-4.55	2.67e-06	66	0.000729	1	17936	1
LRRC27	-11.86	5	-4.43	4.76e-06	67	0.00128	1	17935	1
IL10	-11.57	5	-4.32	7.97e-06	68	0.00211	1	17934	1
VANGL1	-11.49	5	-4.28	9.23e-06	69	0.00241	1	17933	1
ELOF1	-11.46	5	-4.27	9.59e-06	70	0.00246	1	17932	1
OBFC1	-11.46	5	-4.27	9.69e-06	71	0.00246	1	17931	1
NOS3	-11.44	5	-4.26	1.01e-05	72	0.00252	1	17930	1
POLR3D	-11.35	5	-4.23	1.17e-05	73	0.00288	1	17929	1
CCS	-11.32	5	-4.22	1.23e-05	74	0.003	1	17928	1
EBF2	-10.09	4	-4.20	1.32e-05	75	0.00316	1	17927	1
RAB40B	-11.04	5	-4.11	1.96e-05	76	0.00465	1	17926	1
MICALL1	-10.91	5	-4.06	2.44e-05	77	0.00571	1	17925	1
TELO2	-10.81	5	-4.02	2.87e-05	78	0.00662	1	17924	1
C11orf16	-10.79	5	-4.01	3e-05	79	0.00683	1	17923	1
C17orf104	-10.55	5	-3.92	4.44e-05	80	0.00998	1	17922	1
ZNF589	-10.43	5	-3.88	5.31e-05	81	0.0118	1	17921	1
TMEM140	-10.42	5	-3.87	5.39e-05	82	0.0118	1	17920	1
TM9SF1	-10.32	5	-3.83	6.39e-05	83	0.0139	1	17919	1
ZNF880	-10.29	5	-3.82	6.62e-05	84	0.0142	1	17918	1
UNC5D	-10.16	5	-3.77	8.2e-05	85	0.0174	1	17917	1
ENKUR	-10.15	5	-3.76	8.33e-05	86	0.0174	1	17916	1
PLEKHG4	-10.09	5	-3.74	9.1e-05	87	0.0188	1	17915	1
TVP23C-CDRT4	-6.29	2	-3.69	0.000113	88	0.023	1	17914	1
FAT4	-9.93	5	-3.68	0.000115	89	0.0233	1	17913	1
DAGLA	-9.90	5	-3.67	0.000121	90	0.0243	1	17912	1
POLR1C	-9.80	5	-3.63	0.000141	91	0.0279	1	17911	1
URB1	-9.71	5	-3.60	0.000162	92	0.0316	1	17910	1
UCN2	-9.65	5	-3.57	0.000176	93	0.034	1	17909	1
PIGP	-9.52	5	-3.53	0.000212	94	0.0405	1	17908	1
NECAB2	-9.32	5	-3.45	0.000282	95	0.0535	1	17907	1
OSER1	-8.19	4	-3.38	0.000361	96	0.0676	1	17906	1
DIXDC1	-9.08	5	-3.35	0.000399	97	0.074	1	17905	1
MAPKAPK2	-9.03	5	-3.34	0.000426	98	0.0783	1	17904	1
ULBP3	-9.02	5	-3.33	0.000436	99	0.0793	1	17903	1
HAX1	-8.95	5	-3.30	0.000475	100	0.0855	1	17902	1
GRIN3B	-8.89	5	-3.28	0.000515	101	0.0919	0.999	17901	1
MRPL35	-8.74	5	-3.22	0.000636	102	0.112	0.999	17900	1
DPF2	-8.69	5	-3.20	0.000684	103	0.12	0.999	17899	1
ALG6	-8.38	5	-3.08	0.00102	104	0.177	0.999	17898	1
FOXC1	-8.32	5	-3.06	0.0011	105	0.188	0.999	17897	1
CRKL	-7.35	4	-3.02	0.00125	106	0.213	0.999	17896	1
OSBP	-8.19	5	-3.01	0.0013	107	0.219	0.999	17895	1
UBQLN2	-8.15	5	-3.00	0.00137	108	0.229	0.999	17894	1
COIL	-8.06	5	-2.96	0.00154	109	0.255	0.998	17893	1
FCGR2A	-7.15	4	-2.94	0.00167	110	0.272	0.998	17892	1
GTF2H4	-7.92	5	-2.91	0.00183	111	0.296	0.998	17891	1
CSGALNACT2	-7.87	5	-2.89	0.00196	112	0.315	0.998	17890	1
RNF169	-7.85	5	-2.88	0.00199	113	0.317	0.998	17889	1
DVL1	-7.84	5	-2.88	0.00202	114	0.318	0.998	17888	1
SLC12A6	-7.83	5	-2.87	0.00205	115	0.32	0.998	17887	1
ZNF626	-7.00	4	-2.87	0.00206	116	0.32	0.998	17886	1
DUSP19	-7.77	5	-2.85	0.00219	117	0.338	0.998	17885	1
PRMT1	-7.72	5	-2.83	0.00233	118	0.354	0.998	17884	1
FAR1	-7.72	5	-2.83	0.00234	119	0.354	0.998	17883	1
FAM118A	-7.70	5	-2.82	0.00238	120	0.357	0.998	17882	1
C3orf83	-7.67	5	-2.81	0.00248	121	0.368	0.998	17881	1
C8orf88	-7.57	5	-2.77	0.00281	122	0.415	0.997	17880	1
APEX1	-7.52	5	-2.75	0.00296	123	0.433	0.997	17879	1
TIGD7	-7.49	5	-2.74	0.00308	124	0.447	0.997	17878	1
LRRC3B	-7.44	5	-2.72	0.00327	125	0.467	0.997	17877	1
TGIF2-C20orf24	-3.32	1	-2.72	0.00331	126	0.467	0.997	17876	1
SLC9A8	-7.43	5	-2.72	0.00331	127	0.467	0.997	17875	1
PAQR6	-7.42	5	-2.71	0.00332	128	0.467	0.997	17874	1
KBTBD8	-7.41	5	-2.71	0.0034	129	0.474	0.997	17873	1
SLITRK5	-7.39	5	-2.70	0.00345	130	0.476	0.997	17872	1
CORO1C	-7.39	5	-2.70	0.00347	131	0.476	0.997	17871	1
F8A3	-7.38	5	-2.70	0.00349	132	0.476	0.997	17870	1
FZD5	-6.52	4	-2.66	0.00386	133	0.519	0.996	17869	1
EMC1	-7.29	5	-2.66	0.00386	134	0.519	0.996	17868	1
MUCL1	-7.28	5	-2.66	0.00392	135	0.523	0.996	17867	1
C4orf3	-8.52	7	-2.63	0.0043	136	0.57	0.996	17866	1
PPP1R18	-6.42	4	-2.62	0.00439	137	0.576	0.996	17865	1
CIRBP	-7.17	5	-2.62	0.00443	138	0.577	0.996	17864	1
ACSL1	-7.16	5	-2.61	0.0045	139	0.58	0.995	17863	1
SLC6A14	-7.16	5	-2.61	0.00451	140	0.58	0.995	17862	1
BTG1	-7.07	5	-2.58	0.00497	141	0.63	0.995	17861	1
INVS	-7.07	5	-2.58	0.005	142	0.63	0.995	17860	1
OSMR	-7.06	5	-2.58	0.00501	143	0.63	0.995	17859	1
N6AMT1	-7.03	5	-2.56	0.0052	144	0.65	0.995	17858	1
GADD45B	-7.01	5	-2.55	0.00533	145	0.662	0.995	17857	1
GTF2A1L	-6.99	5	-2.55	0.00546	146	0.673	0.995	17856	1
COQ6	-6.97	5	-2.54	0.00555	147	0.679	0.994	17855	1
MOGAT2	-6.95	5	-2.53	0.00571	148	0.694	0.994	17854	1
ZNF726	-6.93	5	-2.52	0.00584	149	0.706	0.994	17853	1
IRG1	-6.90	5	-2.51	0.00601	150	0.717	0.994	17852	1
UMPS	-6.90	5	-2.51	0.00602	151	0.717	0.994	17851	1
NAIF1	-6.16	4	-2.50	0.00613	152	0.725	0.994	17850	1
DHRS4	-6.87	5	-2.50	0.00617	153	0.725	0.994	17849	1
YJEFN3	-6.87	5	-2.50	0.00623	154	0.725	0.994	17848	1
C1orf186	-6.86	5	-2.50	0.00625	155	0.725	0.994	17847	1
CRCP	-11.47	14	-2.49	0.00632	156	0.729	0.994	17846	1
PPAPDC1A	-6.80	5	-2.47	0.00668	157	0.758	0.993	17845	1
BLOC1S5	-8.60	8	-2.47	0.00669	158	0.758	0.993	17844	1
PIP4K2B	-6.79	5	-2.47	0.00674	159	0.758	0.993	17843	1
PICALM	-6.79	5	-2.47	0.0068	160	0.758	0.993	17842	1
TAS2R30	-6.07	4	-2.47	0.00681	161	0.758	0.993	17841	1
COPRS	-6.77	5	-2.46	0.00688	162	0.758	0.993	17840	1
C3orf35	-7.42	6	-2.46	0.00689	163	0.758	0.993	17839	1
BOD1	-8.01	7	-2.46	0.00691	164	0.758	0.993	17838	1
FCER1G	-6.76	5	-2.46	0.00697	165	0.761	0.993	17837	1
HEXIM1	-6.73	5	-2.45	0.00723	166	0.78	0.993	17836	1
AP4S1	-6.73	5	-2.45	0.00724	167	0.78	0.993	17835	1
MFAP3	-6.72	5	-2.44	0.00732	168	0.784	0.993	17834	1
GDNF	-6.67	5	-2.42	0.00771	169	0.814	0.992	17833	1
RBAK	-6.66	5	-2.42	0.00777	170	0.814	0.992	17832	1
KCNK13	-6.66	5	-2.42	0.00781	171	0.814	0.992	17831	1
CIZ1	-6.65	5	-2.42	0.00782	172	0.814	0.992	17830	1
SNF8	-6.65	5	-2.42	0.00783	173	0.814	0.992	17829	1
VIL1	-6.54	5	-2.37	0.00885	174	0.904	0.991	17828	1
KLHDC7A	-6.53	5	-2.37	0.0089	175	0.904	0.991	17827	1
MTIF2	-6.53	5	-2.37	0.0089	176	0.904	0.991	17826	1
HDAC2	-6.53	5	-2.37	0.00893	177	0.904	0.991	17825	1
KCTD8	-6.53	5	-2.37	0.00894	178	0.904	0.991	17824	1
ECM2	-6.50	5	-2.36	0.00921	179	0.925	0.991	17823	1
CEBPZ	-6.50	5	-2.36	0.00925	180	0.925	0.991	17822	1
FREM2	-6.49	5	-2.35	0.00933	181	0.928	0.991	17821	1
LAMTOR3	-5.79	4	-2.35	0.00944	182	0.934	0.991	17820	1
COX20	-5.78	4	-2.34	0.00959	183	0.939	0.99	17819	1
SNX29	-5.77	4	-2.34	0.00964	184	0.939	0.99	17818	1
COX18	-5.77	4	-2.34	0.00966	185	0.939	0.99	17817	1
WFDC5	-6.44	5	-2.34	0.00976	186	0.939	0.99	17816	1
STT3A	-6.44	5	-2.34	0.00976	187	0.939	0.99	17815	1
RTTN	-6.42	5	-2.33	0.01	188	0.949	0.99	17814	1
ZZZ3	-6.39	5	-2.32	0.0103	189	0.949	0.99	17813	1
SNCG	-6.38	5	-2.31	0.0104	190	0.949	0.99	17812	1
CD53	-6.35	5	-2.30	0.0107	191	0.949	0.989	17811	1
CTSO	-6.34	5	-2.30	0.0108	192	0.949	0.989	17810	1
SCAMP3	-6.34	5	-2.30	0.0108	193	0.949	0.989	17809	1
WRB	-5.67	4	-2.29	0.0109	194	0.949	0.989	17808	1
KLK2	-8.49	9	-2.29	0.011	195	0.949	0.989	17807	1
ERBB2IP	-5.65	4	-2.29	0.0111	196	0.949	0.989	17806	1
TRAPPC4	-6.30	5	-2.28	0.0113	197	0.949	0.989	17805	1
EIF3CL	-3.98	2	-2.28	0.0114	198	0.949	0.989	17804	1
PCID2	-6.28	5	-2.27	0.0115	199	0.949	0.988	17803	0.999
PWP2	-6.27	5	-2.27	0.0117	200	0.949	0.988	17802	0.999
TEX28	-6.26	5	-2.27	0.0117	201	0.949	0.988	17801	0.999
HAUS2	-6.26	5	-2.26	0.0118	202	0.949	0.988	17800	0.999
FAM81B	-6.25	5	-2.26	0.0119	203	0.949	0.988	17799	0.999
RELN	-6.25	5	-2.26	0.0119	204	0.949	0.988	17798	0.999
ZNF768	-6.23	5	-2.25	0.0122	205	0.949	0.988	17797	0.999
IMPDH2	-6.21	5	-2.24	0.0124	206	0.949	0.988	17796	0.999
CTBP1	-6.21	5	-2.24	0.0124	207	0.949	0.988	17795	0.999
ZNF141	-4.80	3	-2.24	0.0125	208	0.949	0.988	17794	0.999
DDX51	-6.19	5	-2.24	0.0127	209	0.949	0.987	17793	0.999
RPP25L	-6.18	5	-2.23	0.0127	210	0.949	0.987	17792	0.999
CARNS1	-6.18	5	-2.23	0.0128	211	0.949	0.987	17791	0.999
BLOC1S2	-3.89	2	-2.22	0.0132	212	0.949	0.987	17790	0.999
C12orf65	-6.15	5	-2.22	0.0132	213	0.949	0.987	17789	0.999
ONECUT3	-6.15	5	-2.22	0.0132	214	0.949	0.987	17788	0.999
NACC1	-6.14	5	-2.22	0.0133	215	0.949	0.987	17787	0.999
NPAS4	-6.14	5	-2.22	0.0133	216	0.949	0.987	17786	0.999
SYP	-6.14	5	-2.22	0.0133	217	0.949	0.987	17785	0.999
GMNN	-6.13	5	-2.21	0.0134	218	0.949	0.987	17784	0.999
YY2	-6.13	5	-2.21	0.0134	219	0.949	0.987	17783	0.999
C17orf96	-6.13	5	-2.21	0.0135	220	0.949	0.987	17782	0.999
PREX2	-6.13	5	-2.21	0.0135	221	0.949	0.987	17781	0.999
GLT6D1	-6.12	5	-2.21	0.0135	222	0.949	0.986	17780	0.999
ACRV1	-6.12	5	-2.21	0.0135	223	0.949	0.986	17779	0.999
LRRIQ3	-6.12	5	-2.21	0.0135	224	0.949	0.986	17778	0.999
PCDHAC1	-6.12	5	-2.21	0.0136	225	0.949	0.986	17777	0.999
TEK	-6.08	5	-2.20	0.0141	226	0.949	0.986	17776	0.998
DMP1	-6.08	5	-2.20	0.0141	227	0.949	0.986	17775	0.998
ZMAT3	-6.08	5	-2.19	0.0141	228	0.949	0.986	17774	0.998
PYROXD1	-6.05	5	-2.18	0.0145	229	0.949	0.986	17773	0.998
KIT	-6.04	5	-2.18	0.0146	230	0.949	0.985	17772	0.998
PRDM10	-6.04	5	-2.18	0.0146	231	0.949	0.985	17771	0.998
CHPT1	-6.03	5	-2.18	0.0147	232	0.949	0.985	17770	0.998
RRS1	-6.03	5	-2.17	0.0148	233	0.949	0.985	17769	0.998
ZNF214	-6.01	5	-2.17	0.0151	234	0.949	0.985	17768	0.998
KIF2A	-5.99	5	-2.16	0.0154	235	0.949	0.985	17767	0.998
CRISP1	-6.56	6	-2.16	0.0154	236	0.949	0.985	17766	0.998
TRUB1	-5.99	5	-2.16	0.0154	237	0.949	0.985	17765	0.998
DPP8	-5.99	5	-2.16	0.0154	238	0.949	0.985	17764	0.998
ANKMY1	-5.97	5	-2.15	0.0157	239	0.949	0.984	17763	0.997
KIAA0895L	-5.94	5	-2.14	0.0161	240	0.949	0.984	17762	0.997
SLC9A7	-5.93	5	-2.14	0.0163	241	0.949	0.984	17761	0.997
IFI16	-5.92	5	-2.13	0.0165	242	0.949	0.984	17760	0.997
TMEM205	-5.90	5	-2.13	0.0167	243	0.949	0.983	17759	0.997
TMED7	-5.89	5	-2.12	0.0169	244	0.949	0.983	17758	0.997
DDX60L	-5.89	5	-2.12	0.0169	245	0.949	0.983	17757	0.997
COPS4	-5.89	5	-2.12	0.0169	246	0.949	0.983	17756	0.997
SLFN11	-5.89	5	-2.12	0.0169	247	0.949	0.983	17755	0.997
ATP2A2	-5.87	5	-2.11	0.0172	248	0.949	0.983	17754	0.996
EBI3	-5.87	5	-2.11	0.0173	249	0.949	0.983	17753	0.996
PCDHA12	-5.87	5	-2.11	0.0173	250	0.949	0.983	17752	0.996
HTR1E	-5.86	5	-2.11	0.0175	251	0.949	0.982	17751	0.996
PAEP	-5.85	5	-2.11	0.0175	252	0.949	0.982	17750	0.996
C5orf63	-5.85	5	-2.11	0.0176	253	0.949	0.982	17749	0.996
HSP90B1	-5.23	4	-2.11	0.0176	254	0.949	0.982	17748	0.996
TRAK1	-5.85	5	-2.11	0.0176	255	0.949	0.982	17747	0.996
SIL1	-5.85	5	-2.11	0.0176	256	0.949	0.982	17746	0.996
RPAP1	-5.84	5	-2.10	0.0177	257	0.949	0.982	17745	0.996
LTN1	-5.84	5	-2.10	0.0178	258	0.949	0.982	17744	0.996
OCM2	-5.84	5	-2.10	0.0178	259	0.949	0.982	17743	0.996
VWDE	-5.81	5	-2.09	0.0183	260	0.949	0.982	17742	0.996
IFI44L	-5.19	4	-2.09	0.0185	261	0.949	0.982	17741	0.996
VPS36	-5.79	5	-2.08	0.0186	262	0.949	0.981	17740	0.996
RABIF	-5.78	5	-2.08	0.0188	263	0.949	0.981	17739	0.996
STRIP2	-5.77	5	-2.08	0.0189	264	0.949	0.981	17738	0.996
RPL39L	-3.65	2	-2.08	0.019	265	0.949	0.981	17737	0.996
CTNNB1	-5.77	5	-2.07	0.019	266	0.949	0.981	17736	0.996
PRSS12	-5.76	5	-2.07	0.0192	267	0.949	0.981	17735	0.995
HPCA	-5.76	5	-2.07	0.0192	268	0.949	0.981	17734	0.995
EPO	-5.75	5	-2.07	0.0193	269	0.949	0.981	17733	0.995
MYO1B	-5.75	5	-2.07	0.0193	270	0.949	0.981	17732	0.995
C20orf26	-5.13	4	-2.06	0.0195	271	0.949	0.98	17731	0.995
SCARB1	-5.74	5	-2.06	0.0196	272	0.949	0.98	17730	0.995
ARL6IP6	-5.74	5	-2.06	0.0196	273	0.949	0.98	17729	0.995
LMBR1	-5.73	5	-2.06	0.0196	274	0.949	0.98	17728	0.995
NIPAL1	-5.73	5	-2.06	0.0197	275	0.949	0.98	17727	0.995
PRKD3	-5.73	5	-2.06	0.0197	276	0.949	0.98	17726	0.995
TXNIP	-5.72	5	-2.06	0.0198	277	0.949	0.98	17725	0.995
PDC	-5.11	4	-2.05	0.0201	278	0.949	0.98	17724	0.995
C2orf80	-5.70	5	-2.05	0.0203	279	0.949	0.98	17723	0.995
DUSP7	-5.69	5	-2.05	0.0204	280	0.949	0.98	17722	0.995
TRIM31	-5.68	5	-2.04	0.0207	281	0.949	0.979	17721	0.995
HSPA4	-5.68	5	-2.04	0.0207	282	0.949	0.979	17720	0.995
PLEKHM1	-5.68	5	-2.04	0.0207	283	0.949	0.979	17719	0.995
TMEM27	-5.07	4	-2.03	0.0209	284	0.949	0.979	17718	0.995
SMURF2	-5.66	5	-2.03	0.0211	285	0.949	0.979	17717	0.995
DARS2	-5.64	5	-2.03	0.0214	286	0.949	0.979	17716	0.994
JADE2	-5.63	5	-2.02	0.0215	287	0.949	0.978	17715	0.994
IRAK2	-5.63	5	-2.02	0.0216	288	0.949	0.978	17714	0.994
LRRC41	-5.63	5	-2.02	0.0217	289	0.949	0.978	17713	0.994
IFRD2	-5.63	5	-2.02	0.0217	290	0.949	0.978	17712	0.994
HKR1	-5.02	4	-2.01	0.022	291	0.949	0.978	17711	0.994
SLC25A29	-5.61	5	-2.01	0.0221	292	0.949	0.978	17710	0.994
PROB1	-5.60	5	-2.01	0.0222	293	0.949	0.978	17709	0.994
NMRK1	-5.60	5	-2.01	0.0222	294	0.949	0.978	17708	0.994
WDR27	-5.60	5	-2.01	0.0223	295	0.949	0.978	17707	0.994
SLC15A1	-5.58	5	-2.00	0.0226	296	0.949	0.977	17706	0.994
SCOC	-7.06	8	-2.00	0.0226	297	0.949	0.977	17705	0.994
TOR1A	-5.58	5	-2.00	0.0226	298	0.949	0.977	17704	0.994
SLC35G3	-4.98	4	-2.00	0.0228	299	0.949	0.977	17703	0.994
SLC2A4RG	-5.56	5	-2.00	0.023	300	0.949	0.977	17702	0.994
ANKRD40	-5.56	5	-2.00	0.023	301	0.949	0.977	17701	0.994
HOXA11	-5.56	5	-1.99	0.023	302	0.949	0.977	17700	0.994
BAG6	-5.56	5	-1.99	0.023	303	0.949	0.977	17699	0.994
LAMA1	-5.56	5	-1.99	0.0232	304	0.949	0.977	17698	0.994
EFHD2	-5.55	5	-1.99	0.0232	305	0.949	0.977	17697	0.994
C14orf80	-5.55	5	-1.99	0.0232	306	0.949	0.977	17696	0.994
C2orf61	-5.55	5	-1.99	0.0233	307	0.949	0.977	17695	0.994
SECISBP2	-5.55	5	-1.99	0.0233	308	0.949	0.977	17694	0.994
TOM1L2	-5.55	5	-1.99	0.0233	309	0.949	0.977	17693	0.994
C14orf166	-4.95	4	-1.99	0.0236	310	0.949	0.976	17692	0.993
FNIP2	-5.53	5	-1.98	0.0236	311	0.949	0.976	17691	0.993
LRFN5	-5.53	5	-1.98	0.0237	312	0.949	0.976	17690	0.993
DSCAM	-5.52	5	-1.98	0.024	313	0.949	0.976	17689	0.993
GPRIN3	-5.51	5	-1.98	0.024	314	0.949	0.976	17688	0.993
LRRFIP2	-5.51	5	-1.98	0.0241	315	0.949	0.976	17687	0.993
CIB2	-6.97	8	-1.98	0.0241	316	0.949	0.976	17686	0.993
ANTXR1	-5.50	5	-1.97	0.0243	317	0.949	0.976	17685	0.993
ZFYVE26	-5.49	5	-1.97	0.0246	318	0.949	0.975	17684	0.993
JAG2	-5.48	5	-1.96	0.0248	319	0.949	0.975	17683	0.993
ESF1	-5.48	5	-1.96	0.0249	320	0.949	0.975	17682	0.993
POLR3B	-5.47	5	-1.96	0.025	321	0.949	0.975	17681	0.993
ZNF429	-5.47	5	-1.96	0.025	322	0.949	0.975	17680	0.993
COPS7B	-5.98	6	-1.96	0.0252	323	0.949	0.975	17679	0.993
ID1	-5.46	5	-1.95	0.0253	324	0.949	0.975	17678	0.992
NRBF2	-4.23	3	-1.95	0.0253	325	0.949	0.975	17677	0.992
NUP107	-4.88	4	-1.95	0.0255	326	0.949	0.975	17676	0.992
FLOT1	-5.45	5	-1.95	0.0255	327	0.949	0.975	17675	0.992
PLAC1	-5.45	5	-1.95	0.0255	328	0.949	0.974	17674	0.992
KRTAP3-1	-5.44	5	-1.95	0.0257	329	0.949	0.974	17673	0.992
TALDO1	-5.44	5	-1.95	0.0257	330	0.949	0.974	17672	0.992
LTBP3	-5.43	5	-1.95	0.0259	331	0.949	0.974	17671	0.992
PRR16	-5.43	5	-1.94	0.0259	332	0.949	0.974	17670	0.992
IL6	-5.43	5	-1.94	0.026	333	0.949	0.974	17669	0.992
GPR88	-5.42	5	-1.94	0.0261	334	0.949	0.974	17668	0.992
SH3BP2	-5.42	5	-1.94	0.0262	335	0.949	0.974	17667	0.992
NT5E	-5.41	5	-1.94	0.0265	336	0.949	0.974	17666	0.992
ZC3H6	-5.41	5	-1.93	0.0265	337	0.949	0.973	17665	0.992
MARCKSL1	-5.40	5	-1.93	0.0266	338	0.949	0.973	17664	0.992
CATSPERB	-5.40	5	-1.93	0.0266	339	0.949	0.973	17663	0.992
DNPEP	-5.40	5	-1.93	0.0266	340	0.949	0.973	17662	0.992
KIFAP3	-5.40	5	-1.93	0.0267	341	0.949	0.973	17661	0.992
GCAT	-5.39	5	-1.93	0.0268	342	0.949	0.973	17660	0.992
LCT	-5.39	5	-1.93	0.027	343	0.949	0.973	17659	0.992
SQRDL	-5.39	5	-1.93	0.027	344	0.949	0.973	17658	0.992
DNTT	-5.38	5	-1.93	0.0271	345	0.949	0.973	17657	0.992
CCNB1	-5.37	5	-1.92	0.0273	346	0.949	0.973	17656	0.992
CCDC112	-5.37	5	-1.92	0.0274	347	0.949	0.973	17655	0.992
ACSL6	-5.37	5	-1.92	0.0275	348	0.949	0.973	17654	0.992
ZNF177	-5.36	5	-1.92	0.0276	349	0.949	0.972	17653	0.992
TRPM7	-4.79	4	-1.91	0.0278	350	0.949	0.972	17652	0.991
EIF2S1	-5.35	5	-1.91	0.0278	351	0.949	0.972	17651	0.991
GTF2A2	-5.35	5	-1.91	0.0279	352	0.949	0.972	17650	0.991
RIMBP2	-5.35	5	-1.91	0.0279	353	0.949	0.972	17649	0.991
